Index,Title,Content
534,Irmenach,Irmenach Alemaniako udalerria da RenaniaPalatinatua estatuan kokatuta dago BernkastelWittlich barrutian 2014an 685 biztanle zituen 1638 kilometro koadrotan banatuta  Demografia  Ikus jatorrizko Wikidatako eskaera eta iturriak  Kanpo estekak  Webgune ofiziala
535,Gaztelako atea (Tolosa),Gaztelako atea XVIII mendea Gipuzkoako Tolosa udalerrian dagoen sarreraarkua da  Kokalekua  Tolosako Alde Zaharrean dago Aldundiaren jauregia Triangelu plaza eta Zerkausiaren artean kokatua dago  Eraikina  Harrizko arku handia da Erdi Aroan Tolosako harresian Gaztela aldera joateko atea zegoen leku berean dago kokatuta Neoklasiko estilokoa da eta kuxin formako hesi bikoitza du Eskolapioen ikastetxea desagertu zenean arkua bakartuta geratu zen XIII mendearen erdialdera 1256an Alfonso Xa jakitunak Tolosa eraiki zuen Ordizia eta Segurarekin batera barnealdeko hiru babesleku Gaztelak Nafarroako Erresumarekin zuen mugan zehar Hiri gutunak hiribilduaren estatus juridikoa zehazten duenak hiribildua jendeztatzeko berme pribilegio eta salbuespen batzuk eman zituen Herrigunea Kale Nagusiaren eta Andre Maria plazaren inguruan egituratu zen arrazoi estrategikoak zirelaeta Nafarroarako igarobidea handik igarotzen baitzen Era berean harresiak eraiki ziren eta Oria ibaiak eta haren adar batek eratutako uharte baten gainean eraikitako esparru modura itxuratuta gelditu zen hiribildua Aurrerago zabaldu egin zen gotorlekua Korreo kalearen eta Gaztelako atearen lotune aldera 1503an Tolosa sute handi batek suntsitu zuen eta harrezkero hiria harriz berreraikitzeari ekin zioten Gaur egun antzinako burguko luzetarako bere sei kaleen trazatua ikus daiteke baita zeharkako beste kale txikiago batzuena ere eta Gaztelako atea  Erreferentziak   Kanpo estekak 
536,Bovichtidae,Bovichtidae arrain pertziformeen familia da Australiako Zeelanda Berriko eta Hego Amerikako itsasoetan gutxi batzuk ur gezetan ere bizi dena Azken ikerketa filogenetikoen arabera Bovichtidae familia ez da talde monofiletiko bat  Generoak  FishBaseren arabera familiak egun 11 espezie ditu 3 generotan banaturik Bovichtus Cottoperca HalaphritisLehen Pseudaphritis generoa Castelnau 1872 familiaren barnean sailkatzen zuten baina orain bere familia monotipikoa du Pseudaphritidae izenekoa  Erreferentziak   Kanpo estekak 
537,Oran (Missouri),Oran Missourieko hiri bat da Scott konderrian kokatua dago 2010ean 1294 biztanle zituen 281 kilometro koadrotan banatuta  Ikus gainera  Scott konderria  Kanpo estekak 
538,Sorbon,Sorbon Frantziako udalerri bat da Ardenak departamenduan dagoena Ekialde Handia eskualdean 2013an 212 biztanle zituen  Demografia   Biztanleria  2007an Sorbon udalerrian erroldatutako biztanleak 208 ziren Familiak 76 ziren horien artean 12 pertsona bakarrekoak ziren 8 bakarrik bizi ziren gizonak eta 4 bakarrik bizi ziren emakumeak 28 semealabarik gabeko familiak ziren 28 semealabak dituzten bikoteak ziren eta 8 semealabak dituzten gurasobakarreko familiak ziren Biztanleriak denboran ondorengo grafikoan ageri den bilakaera izan du Ikus jatorrizko Wikidatako eskaera eta iturriak  Etxebizitza  2007an 96 etxebizitza zeuden 83 familiaren etxebizitza nagusia ziren 4 bigarren erresidentzia ziren eta 8 hutsik zeuden 93 etxeak ziren eta 1apartamentu bat zen 83 etxebizitza nagusietatik 74 bere jabearen bizilekua ziren 8 alokairuan okupaturik zeuden eta 1 doan lagata zegoen 1ek bi gela zituen 7 etxek hiru zituzten 19 etxek lau zituzten eta 56 etxek bost zituzten 76 etxek euren parking plaza propioa zuten azpian 25 etxetan ibilgailu bat zegoen eta 52 etxetan bat baino gehiago zituzten  Biztanleriapiramidea  2009an sexu eta adinaren araberako biztanleriapiramidea hau zen  Ekonomia  2007an lan egiteko adina zuten pertsonak 149 ziren horien artean 109 aktiboak ziren eta 40 inaktiboak ziren 109 pertsona aktiboetatik 106 lanean zeuden 58 gizon eta 48 emakume eta 3 langabezian zeuden 1 gizon eta 2 emakume 40 pertsona inaktiboetatik 16 erretiraturik zeuden 14 ikasten zeuden eta 10 bestelako inaktibo gisa sailkaturik zeuden  Diru sarrerak  2009an Sorbon udalerrian 84 unitate fiskal zeuden 2175 pertsonek osaturik Pertsona bakoitzeko dirusarrera fiskalaren mediana urteko 20137 euro zen  Ekonomia jarduerak  2007an zeuden 5 komertzioetatik 2 erauzte enpresak ziren 1 eraikuntza enpresa zen 1 ibilgailuen saltze eta konpontze enpresa zen eta 1 administrazio publikoko enpresa zen2000 urtean Sorbon udalerrian 13 nekazaritzaustiategi zeuden  Gertuen dauden herriak  Diagrama honek gertuen dauden herriak erakusten ditu  Erreferentziak   Kanpo estekak  FrantsesezRésumé statistique INSEEren udalerriko estatistiken laburpena FrantsesezÉvolution et structure de la population INSEEren udalerriko datuen fitxa FrantsesezFrance par comune Frantziako udalerri guztietako datu zehatzak mapa baten bitartez eskuragarri
539,GR 21,GR 21 edo Ignazio Bidea Nafarroa Garaiko Iruñea hiriburutik Gipuzkoako Loiolako santutegira doan ibilbide luzea da Berez 1512 urtean Nafarroako konkista garaian San Ignazio Loiolakoa Iruñeko harresien aurrean zauritu eta Loiolako bere jaiotetxera eramateko burutu zuten ibilaldia birsortzen du Bestalde Iruñean San Ignazio Loiolakoaren lagun mina izan zen San Frantzisko Xabierkoarekin zerikusia duen Xabierraldiaren ibilbidearekin bat egiten du Hau Iruñean hasi eta Xabierko gazteluan amaitzen delarik  Ibilbidea  Honako ibilbidea jarraitzen du Iruñea  Berriozar  Oteitza  Aizkorbe  Irurtzun  Bi Haizpeak  Latasa  Mugiro  Lekunberri  Baraibar  Errazkin  Betelu  Uztegi  Azkarate  Zarateko mendatea Nafarroa eta Gipuzkoako muga  Bedaio  Altzo  Albiztur  Bidegoian  Beizama  Azpeitia  Loiolako santutegia  Ikus gainera  Ignaziotar bidea Azpeitiko Loiolako Santutegiaren eta Manresako San Ignazioren leizearen artekoa  Kanpo estekak 
540,Sonseca,Sonseca Toledoko udalerria da Montes de Toledo eskualdean dagoena 2009ko urtarrilaren 1eko erroldaren arabera 11265 biztanle zituen  Ikus gainera  Toledoko udalerrien zerrenda  Kanpo estekak  Gaztelaniaz Udalaren webgunea
541,Malkorbe,Malkorbe Gipuzkoako kostako hondartza da Getariako udalerrian kokatuta dagoena Getariako bi hondartzetako bat da hau ekialdera geratzen dena Zarauzko bidean Itsasoko olatuetatik babesean geratzen da eta familian egoteko hondartza izan ohi da ondorioz surf egin nahi dutenek gertu dute Getariako beste hondartza Gaztetapekoa  Ezaugarriak  450 metroko luzera du eta batez beste 75 metroko zabalera dauka  Ikus gainera  Gaztetape  Kanpo estekak  Hondartzari buruzko informazioa eta argazkia
542,Zaragozako Euskal Etxea,Zaragozako Euskal Etxea ofizialki Zaragozako Euskal Etxea  Casa vasca de Zaragoza Espainiako Zaragoza hirian dagoen euskal etxe bat da Aragoien 2013an sortua izan zen  Kanpo loturak  Facebook orrialdea
543,Lower Town (Scilly uharteak),Lower Town Ingalaterrako Kornualles konderriko udalerri bat da Scilly uharteetan  Kanpo estekak 
544,Pimorin,Pimorin Frantziako udalerria da Jura departamenduan dagoena BorgoinaFrancheComté eskualdean 2013an 182 biztanle zituen  Demografia   Biztanleria  2007an Pimorin udalerrian erroldatutako biztanleak 182 ziren Familiak 77 ziren horien artean 23 pertsona bakarrekoak ziren 8 bakarrik bizi ziren gizonak eta 15 bakarrik bizi ziren emakumeak 23 semealabarik gabeko familiak ziren 27 semealabak dituzten bikoteak ziren eta 4 semealabak dituzten gurasobakarreko familiak ziren Biztanleriak denboran ondorengo grafikoan ageri den bilakaera izan du Ikus jatorrizko Wikidatako eskaera eta iturriak  Etxebizitza  2007an 117 etxebizitza zeuden 77 familiaren etxebizitza nagusia ziren 31 bigarren erresidentzia ziren eta 9 hutsik zeuden 109 etxeak ziren eta 9 apartamentuak ziren 77 etxebizitza nagusietatik 66 bere jabearen bizilekua ziren 11 alokairuan okupaturik zeuden eta 1 doan lagata zegoen 4 etxek bi gela zituzten 9 etxek hiru zituzten 16 etxek lau zituzten eta 48 etxek bost zituzten 64 etxek euren parking plaza propioa zuten azpian 35 etxetan ibilgailu bat zegoen eta 38 etxetan bat baino gehiago zituzten  Biztanleriapiramidea  2009an sexu eta adinaren araberako biztanleriapiramidea hau zen  Ekonomia  2007an lan egiteko adina zuten pertsonak 111 ziren horien artean 80 aktiboak ziren eta 31 inaktiboak ziren 80 pertsona aktiboetatik 73 lanean zeuden 44 gizon eta 29 emakume eta 8 langabezian zeuden 5 gizon eta 3 emakume 31 pertsona inaktiboetatik 16 erretiraturik zeuden 5 ikasten zeuden eta 10 bestelako inaktibo gisa sailkaturik zeuden  Diru sarrerak  2009an Pimorin udalerrian 80 unitate fiskal zeuden 194 pertsonek osaturik Pertsona bakoitzeko dirusarrera fiskalaren mediana urteko 14803 euro zen  Ekonomia jarduerak  2007an zeuden 10 komertzioetatik 3 bestelako produktu industrialen fabrikazioko enpresak ziren 1 eraikuntza enpresa zen 2 ibilgailuen saltze eta konpontze enpresak ziren 1 finantziazio enpresa zen 1 higiezinen enpresa zen 1 zerbitzu enpresa zen eta 1 beste zerbitzu jarduera batzuk multzoan sailkatutako enpresa zen2009an zeuden norbanakoentzako 4 zerbitzu publikoetatik 2 ibilgailuen konpontzeko eta nekazaritza tresnetako lantokiak ziren 1 iturgina eta 1 ile apaindegia2000 urtean Pimorin udalerrian 7 nekazaritzaustiategi zeuden  Gertuen dauden herriak  Diagrama honek gertuen dauden herriak erakusten ditu  Erreferentziak   Kanpo estekak  FrantsesezRésumé statistique INSEEren udalerriko estatistiken laburpena FrantsesezÉvolution et structure de la population INSEEren udalerriko datuen fitxa FrantsesezFrance par comune Frantziako udalerri guztietako datu zehatzak mapa baten bitartez eskuragarri
545,Sillago suezensis,Sillago suezensis Sillago generoko animalia da Arrainen barruko Sillaginidae familian sailkatzen da  Banaketa  Espezie hau Egeo itsasoan aurki daiteke  Erreferentziak   Kanpo estekak  FishBaseorg  Ikus gainera  Sillago Sillaginidae
546,Laigueglia Saria,Laigueglia Saria Italiako txirrindularitza lasterketa da Liguriako Laigueglia hiriaren inguruan lehiatua 1964an sortua eta otsailean antolatua UCI Europe Tourreko proba da 11 kategorian 2005 eta 2014 artean eta 2015etik 2019ra 1HC mailan 2020an UCI ProSeries mailan sartu zuten hots nazioarteko txirrindularitzaren bigarren mailan Laigueglia Saria Laiguegliako udalerriak antolatzen du Ibilbidean hiru mendate ditu  Passo del Ginestro bi aldiz igotzen dena eta Passo Balestrino  Palmaresa  Oharra 1972ko lasterketan Harry Jansen bigarren sailkatu bazen ere emaitza deuseztatua izan zen dopinagatik  Ikus gainera  klasikoak txirrindularitza  Erreferentziak   Kanpo estekak  Italieraz Webgune ofiziala
547,Danubioren delta,Danubioren delta errumanieraz Delta Dunării Europako ibai delta handiena eta hoberen kontserbatuena dagoena da Dobruja Errumania eta Odeska oblasten Ukraina dago 3446 km²ko azalera du  Geografia  Danubioren delta biztanlerik gabeko padura eta aintzira eskualde bat da zuhaitzek zeharkatuak Urtero Danubio ibaiak metaturiko lurrek delta 40 metro hazarazten dute Horregatik oso egitura dinamikoa da Errumaniako Tulzea herritik gertu Danubio ibaia hiru adar nagusitan banatzen da Itsaso Beltzera iritsi aurretik Chilia Sulina eta Sfântu Gheorghe San Jurgi baina kanal txikiago askok kanaberadi toki zingiratsu eta basoen eskualde batean bihurtzen dute horietatik batzuk udaberrian eta udazkenean urpean geratzen direnak Danubioren deltatik 44 kilometrora errekan gora Sugeen Uhartea dago gaur egun Ukrainarena dena baina Errumaniak erreklamatzen duena 2004an Ukrainak Bistroe Kanaleko lanak inauguratu zituen Danubioren deltaren zati ukraniarra eta Itsaso Beltzaren arteko lotura nabigagarri bat erraztuko lukeena Dena dela Europar Batasunak Ukrainari lanekin ez jarraitzeko esan zion deltako hezeguneek jasango zituzten kalte larriak zirela eta Errumaniak konprometituagoa deltaren babes eta kontserbazioarekin Ukraina Hagako Nazioarteko Justizia Auzitegira eraman nahi du  Natura  Deltak bere barnean 1200 landare espezietik gora du 320 hegazti espezie baita ur gezako 3400 espezie ere horien artean 110 arrain espezie gaizkata bezala Jada 1974an deltaren erdia baino gehiago nazioarteko garrantzizko toki zingiratsua bezala izendatua izan zen eta Gizateriaren Ondare bezala Ramsarreko Hitzarmenagatik ofizialki Nazioarteko Garrantzizko hezeguneei buruzko hitzarmena bereziki Uretako Hegaztien Habitat bezala Gaur egun Danubioren delta UNESCOren zerrendan sartua dago Biosferaren Erreserba bezala izendaturiko tokien artean Danubioren deltaren Mugaz Haraindiko Biosferaren Erreserba izenarekin Gutxi gorabehera 2733 km² ditu erabat babestuak 18 eremutan banatuak Munduko toki ezberdinetatik Europa Asia Mediterraneo itsasoa Afrika milioika hegazti migratzaile habia egiteko joaten diren tokia da Landarediari dagokionez kanaberadi eta lezkadiak nagusi dira azaleraren 78a hartzen dutenak Gainera gatz zabaldiak eta erribera basoak ere badaude euren uholdetzearen maiztasunaren arabera ezberdinduak uneoro uholdeztatuak dauden sahastiekin eta aldizkako uholdetzeko makaldiekin Badaude basoak Leteakoa bezala oso nabarmenak direnak bere zuhaitzen adaburu asimetrikoengatik Horien artean haritzak makalak zumarrak eta lizarrak daude Duela 2500 urte Herodoto historialari greziarrak kontatzen zuenaren arabera Danubio ibaia zazpi adarretan banatzen zen bere itsasoratzera iristerakoan  Biztanleria  Gutxi gorabehera 15000 pertsona bizi dira Danubioren deltan Gehienak arrantzatik bizi dira horretarako egurrez eginiko euren kayak tradizionalak erabiltzen dituztelarik Horien artean lipoboar elkarte bat dago Antzinako Errituko jarraitzaileen ondorengoak Errusiatik 1772an irten zirenak jazarpen erlijiosoa eragozteko Deltaren ukraniar zatian elkarte honek duen gunerik nagusiena Vikov da  Historia  Aro Modernoaren zatirik handienean Danubioren delta Otomandar Inperioaren esku egon zen Otomandarrak Balkanen kontrola galtzen joan ziren heinean AustriaHungariako Inperioa eta beste europar potentzia batzuk mugitu egin ziren delta beste otomandar lurralde batzuk bezala Errusiak beregana ez zezan 1856ko Parisko Itunak Krimeako Gerrari amaiera jartzen ziona nazioarteko batzorde batek Danubioko Batzorde Europarra delta kontrola zezala adierazi zuen Batzorde horrek aurrera eraman zituen lan batzuk deltan eta ibaiaren behealdeko zatian horrela Itsaso Beltzetik ibaira nabigatzea erraztuz Lehen Mundu Gerra amaitu ondoren Versaillesko Itunak 1919 nazioarteko batzordea berretsi zuen beste bat Danubioren goiko zatia kontrolatzeko ezarria izan zen aldi berean Bigarren Mundu Gerran Alemania naziak batzordeak ezeztatu zituen ibaiaren ibilbide osoa 1940tik 1944 arte kontrolatu zuena  Kanpo estekak 
548,190 South LaSalle Street,190 South LaSalle Street Ameriketako Estatu Batuetako Chicago hirian dagoen bulego etxe orratz bat da Guztira 175 metro eta 42 solairu dauzka eta 1987an amaitu zuten eraikitzen Johnson Burgee Architects arkitekto taldeak diseinatu zuen  Ikus gainera  Ameriketako Estatu Batuetako eraikinik garaienen zerrenda  Kanpo estekak  Ingelesez Eraikinaren fitxa emporiscom webgunean
549,Jon Aizpuru,Jon Aizpuru Irun Gipuzkoa 1983an euskal musikaria da Jon Aizpuru Mallea Irunen jaio zen 1983an Tronpetako Erdi Mailako Gradua lortu zuen Irungo Kontserbatorioan eta ikasketak Bordeleko Mairie kontserbatorioan jarraitu zituen Musikeneko Koru Zuzendaritzan gradua lortu zuen bere irakaslea Gabriel Baltés izan zelarik Talde ezberdinetan parte hartu izan du Kup Taldea eta Kea Ahots Taldeak esate baterako eta hainbat ekimenetan ere zuzendari moduan parte hartu izan du Egun Ametsa Abesbatza Kultur Elkarteko Musika Tailerreko irakasle da eta Berako Isidoro Fagoaga Musika Eskolako abesbatza eta musika lengoaiako irakaslea ere bada Donostiako Ereserki abesbatza zuzentzen du eta OLBE Operako Bilboko Lagunen Elkarteko barneko bandako zuzendaria da Hastapenetatik Irungo Ametsa Gazte abesbatzaren zuzendaria da  Kanpoko loturak  Eresbil 1
550,Kasilda Hernáez,Soledad Kasilda Hernáez Vargas Zizurkil Gipuzkoa 1914ko apirilaren 9a  Biarritz Lapurdi 1992ko abuztuaren 31 anarkista eta feminista izan zen Beste izen hauekin ere ezaguna da Kasilda Méndez Hernáez Kasilda Kaxilda Kasi eta la Miliciana milizianoa Zizurkilen jaioa Donostiako Egia auzoan eman zuen bere bizitzaren zati handi bat Bikotekide izan zuen Felix Likiniano  Bizitza  Haren ama familia anarkista eta bohemio batetik zetorren amona Nafarroako ijitoa zen azken finean Kasilda askatasun giro horretan hezi zen Jaio Fraisoroko etxean jaio zen hau da ezkongabeko amak eta umezurtzak jasotzen zituen Zizurkilgo etxean Haurtzaroa Zizurkilen igaro ondoren Donostiara joan ziren bizitzera Mugimendu anarkistan aritzearekin batera emakumeen eskubideen eta askatasunaren alde jardun zuen Besteak beste arreta piztu zuen Donostiako hondartzan biluzik bainatzeagatikIraultzailea 1934an lehergailuak eta propaganda anarkista zeramanean harrapatu zuen poliziak Ondorioz 29 urteko espetxe zigorra jaso zuen Guadalupeko gotorlekuan preso egon zen eta handik Alcala de Henaresa eraman zuten 1936ko otsaileko hauteskundeen ondoren askatu zutenEspainiako Gerra Zibilaren hasieran Felix Likinianoren taldearekin batera Aiako Harriaren eta San Martzial mendiaren defentsan hartu zuen parte Behin Irun galduta Lapurdira joan zen eta handik Kataluniara berriro ere frontera joan zen orduan Aragoiko Frontera Emakumeak fronteetatik erretiratzearen ondorioz berriro Bartzelonara ere joan zen milizianoentzako arropak josten ziren lantegi batera lan egitera Gerra galduta mugaren beste aldean Likinianorekin batera SaintCyprien kontzentrazio esparruan sartu zuten Handik atera zirenean Baionara joan ziren Bordelen eta Bretainian Lorient izan ziren Naziek Frantzia okupatua izan zuten garaian erresistentziarekin kolaboratu zuten Bolada batez Parisen egon ondoren 1943an Lapurdira itzuli ziren Biarritzera Han bizi izan zen 1992an hil zen arteDonostiako Egia auzoan estimu handitan dute oraindik Kasilda Hernáez Behin baino gehiagotan eskatu diote Donostiako Udalari haren omenezko kale edo plaza bat jar dezan baina proposamenak ez du aurrera eginHernaezen hilarrian Biarritzen esaldi hau ageri da  Erreferentziak   Bibliografia  Luis Mari Jiménez de Aberasturi Casilda miliciana Historia de un sentimiento Donostia Txertoa 1985 ISBN 8471481677 Mari Karmen Gil Fombellida Breve diccionario de mujeres vascas en el exilio 115or Jose Ramon Zabala Non zeuden emakumeak La mujer en el exilio vasco de 1936 Donostia Saturraran 2007 ISBN 9788493445522 Pilar Iparragirre Felix Likiniano Ezina ekinez egina Tafalla Txalaparta 1994  Kanpo estekak  Kasilda Hernáez borrokalaria gogora ekarrizJoseba Aurkenerena Kasilda bukatzen ez den sua Ikuskizuna Goitibera antzerki taldea
551,Heterobranchia,Heterobranchia zakatz ezberdinetako barraskiloak barraskilo eta bareen klado taxonomiko bat da Bere barruan hainbat gastropodo molusku itsastar urtar eta lurtar sailkatzen dira Heterobranchia da gastropodoen klado nagusietako bat Heterobranchia barruan hiru talde informal daude gaur egun Allogastropoda Opisthobranchia eta Pulmonata izenekoak  Sailkapena   Kanpo estekak 
552,Abdul Rahman Negeri Sembilangoa,Tuanku Abdul Rahman ibni Almarhum Tuanku Muhammad Seri Menanti 1895eko abuztuaren 24a  Kuala Lumpur 1960ko apirilaren 1a Malaysiako lehenbiziko erregea Yang diPertuan Agong eta Negeri Sembilango 2 monarka Yang diPertuan Besar izan zen Muhammad Negeri Sembilangoaren semea izan zen Londresen zuzenbidea ikasi zuen eta han aukeratu zuten lehen Malaysiako talde nazionalistako presidente 1933an bere aitaren oínordekoa izan zen Negeri Sembilango tronuan 1948an Malaysiako Batasunaren Ituna sinatu zuen baina gero atzera bota zuen 1957ko abuztuaren 31n lehen Malaysiako erregea aukeratu zuten eta bost urteko agintaldia amaitu baino lehen hil zen Bere semea nagusia Munawir Negeri Sembilangoa oinordekoa izan zen Negeri Sembilango tronuan
553,Pembrokeshire kostaldeko ibilbidea,Pembrokeshire kostaldeko ibilbidea galeseraz Llwybr Arfordir Sir Benfro eta ingelesez Pembrokeshire Coast Path edo Pembrokeshire Coastal Galesko hegomendebaldeko Pembrokeshire konderriaren kostaldea zeharkatzen duen ibilbidea da National Trails erakundeak diseinatua dagoelarik 1970an ireki zen eta 299 kilometro luze ditu horietako asko itsaslabarren gain doazelarik denera 11000 metroko gorabeherak dituelarik Lekurik garaiena Pen yr afr da 175 m eta baxuena berriz Sandy Haven pasabidea itsas mailatik 2 metro azpira Ibilbidearen hegoaldeko hegoaldeko abiapuntu edo helmuga Amroth udalerrian dago eta iparraldekoa Poppit Sands herrixkan St Dogmaels udalerritik hurbil Ibilbide hau Galesko kostaldeko ibilbidearen zati da denera 1400 kilometro dituen eta Chepstow eta Queensferry udalerrien artean hedatzen den ibilbide luzea  Iruditegia   Ikus gainera  Pembrokeshire Kostaldeko Parke Nazionala  Kanpo estekak  Pembrokeshire kostaldeko ibilbidea National Trails webgunean Ingelesez wwwgeographcouk  Pembrokeshire kostaldeko ibilbidearen argazkiak Ingelesez newportpembscouk  Pembrokeshire kostaldeko ibilbideari buruzko artikulua Ingelesez
554,Hair (filma),Hair euskaraz Ile 1979ko Miloš Forman txekoestatubatuar zinema zuzendariaren musikal filma bat da Berez Gerome Ragni eta James Radoren izen berdineko 1969ko Hair musikalan oinarritua dago Bertan John Savage Treat Williams eta Beverly DAngelo aktoreek antzeztu zuten Atzerritar filma onenaren César Sarirako izendatua izen zen Filma honetako soinu bandan entzun litezkeen Aquarius Good Morning Starshine eta Let the Sunshine in abestiak aski ezagun egin dira gaur egun jada hippie belaunaldiaren ikur bilakatu direlarik  Argumentua  1967 urtea AEB Claude John Savage Vietnamgo Gerrara eramango duen Estatubatuar Armadan izen emateko New York hirira iritsi berria den mutil gaztea da Baina hiri hartara iritsi bezain laister hippie talde bat ezagutu eta bere bizitzaren ikuspuntua aldatuko da Egun horien ondoren Berger Treat Williams ezagutu Sheila Beverly dAngelo neska gazteaz maitemindu eta erabaki garrantzitsu bat hartu beharko du Vietnamera joan edota munduko bakearen alde borrokatu  Aktoreak  John Savage Claude Bukowski Treat Williams Berger Beverly dAngelo Sheila Annie Golden Jeannie Donnie Dacus Woof Dorsey Wright Hud Cheryl Barnes Huden neskalaguna Adrienne King Dantzaria  Abestiak  Nahiz eta jatorrizko musikaleko My Conviction eta The Air abestiak ez zituzten sartu gainontzeko abestiak filmaren ekintzarekin bat etortzeko zenbait moldaketa txiki egin zitzaizkien Aquarius  Sodomy DonnaHashish Colored Spade Manchester Abie BabyFourscore Im BlackAint Got No Party Music I Got Life Frank Mills Hair L B J Electric BluesOld Fashioned Melody Hare Krishna Where Do I Go Black Boys White Boys Walking in Space Easy to be Hard 3500 Good Morning Starshine What a Piece of Work is Man Somebody to Love Dont Put it Down The Flesh FailuresLet the Sunshine in  Ikus gainera  Hair musikala  Kanpo estekak  Hair filmaren IMDBko fitxa irakurgai Ingelesez Hair filmaren trailer edo iragarkia ikusgai Youtubecom Ingelesez
